Unnamed: 0,timestamp,location-long,location-lat,individual-local-identifier,time_diff
12213,2009-04-04 08:01:00,31.89177,-25.1055899999999,AM105,0 days 00:31:00
12214,2009-04-04 08:30:00,31.89617,-25.10671,AM105,0 days 00:29:00
12215,2009-04-04 09:00:00,31.89882,-25.1063599999999,AM105,0 days 00:30:00
12216,2009-04-04 09:30:00,31.8996199999999,-25.1058899999999,AM105,0 days 00:30:00
12217,2009-04-04 10:00:00,31.9003,-25.10604,AM105,0 days 00:30:00
12218,2009-04-04 10:30:00,31.9005399999999,-25.10603,AM105,0 days 00:30:00
12219,2009-04-04 11:00:00,31.9005,-25.1060599999999,AM105,0 days 00:30:00
12220,2009-04-04 11:30:00,31.9001899999999,-25.1058799999999,AM105,0 days 00:30:00
12221,2009-04-04 12:00:00,31.9007399999999,-25.1066399999999,AM105,0 days 00:30:00
12222,2009-04-04 12:30:00,31.90107,-25.1074699999999,AM105,0 days 00:30:00
12223,2009-04-04 13:00:00,31.90133,-25.10751,AM105,0 days 00:30:00
12224,2009-04-04 13:30:00,31.9017899999999,-25.1074699999999,AM105,0 days 00:30:00
12225,2009-04-04 14:00:00,31.9022,-25.10733,AM105,0 days 00:30:00
12226,2009-04-04 14:30:00,31.9051399999999,-25.1059799999999,AM105,0 days 00:30:00
12227,2009-04-04 15:00:00,31.90602,-25.10596,AM105,0 days 00:30:00
12228,2009-04-04 15:30:00,31.90866,-25.10385,AM105,0 days 00:30:00
12229,2009-04-04 16:00:00,31.90709,-25.09802,AM105,0 days 00:30:00
12230,2009-04-04 16:30:00,31.9055399999999,-25.0950999999999,AM105,0 days 00:30:00
12231,2009-04-04 17:00:00,31.90466,-25.0941599999999,AM105,0 days 00:30:00
12232,2009-04-04 17:30:00,31.9044099999999,-25.0969799999999,AM105,0 days 00:30:00
12233,2009-04-04 18:00:00,31.9030999999999,-25.09608,AM105,0 days 00:30:00
12234,2009-04-04 18:30:00,31.90155,-25.0955499999999,AM105,0 days 00:30:00
12235,2009-04-04 19:00:00,31.9004,-25.09497,AM105,0 days 00:30:00
